time,latitude,BEUTI
UTC,degrees_north,mmol m-1 s-1
2003-01-15T00:00:00Z,39.0,-0.322
2003-01-15T00:00:00Z,45.0,-2.239
2003-02-15T00:00:00Z,33.0,0.364
2003-02-15T00:00:00Z,39.0,6.145
2003-02-15T00:00:00Z,45.0,0.661
2003-03-15T00:00:00Z,33.0,1.844
2003-03-15T00:00:00Z,39.0,8.352
2003-03-15T00:00:00Z,45.0,-3.281
2003-04-15T00:00:00Z,33.0,2.431
2003-04-15T00:00:00Z,39.0,8.566
2003-04-15T00:00:00Z,45.0,-1.773
2003-05-15T00:00:00Z,33.0,1.24
2003-05-15T00:00:00Z,39.0,28.824
2003-05-15T00:00:00Z,45.0,1.385
2003-06-15T00:00:00Z,33.0,0.673
2003-06-15T00:00:00Z,39.0,32.966
2003-06-15T00:00:00Z,45.0,2.148
2003-07-15T00:00:00Z,33.0,0.15
2003-07-15T00:00:00Z,39.0,24.147
2003-07-15T00:00:00Z,45.0,2.133
2003-08-15T00:00:00Z,33.0,0.05
2003-08-15T00:00:00Z,39.0,3.365
2003-08-15T00:00:00Z,45.0,0.758
2003-09-15T00:00:00Z,33.0,0.015
2003-09-15T00:00:00Z,39.0,3.004
2003-09-15T00:00:00Z,45.0,1.34
2003-10-15T00:00:00Z,33.0,0.024
2003-10-15T00:00:00Z,39.0,7.212
2003-10-15T00:00:00Z,45.0,-0.363
2003-11-15T00:00:00Z,33.0,0.097
2003-11-15T00:00:00Z,39.0,0.291
2003-11-15T00:00:00Z,45.0,-0.252
2003-12-15T00:00:00Z,33.0,0.305
2003-12-15T00:00:00Z,39.0,-2.752
2003-12-15T00:00:00Z,45.0,-1.452
2004-01-15T00:00:00Z,33.0,0.952
2004-01-15T00:00:00Z,39.0,2.505
2004-01-15T00:00:00Z,45.0,-2.698
2004-02-15T00:00:00Z,33.0,1.807
2004-02-15T00:00:00Z,39.0,0.99
2004-02-15T00:00:00Z,45.0,-2.219
2004-03-15T00:00:00Z,33.0,1.441
2004-03-15T00:00:00Z,39.0,19.905
2004-03-15T00:00:00Z,45.0,2.348
2004-04-15T00:00:00Z,33.0,0.729
2004-04-15T00:00:00Z,39.0,12.705
2004-04-15T00:00:00Z,45.0,0.962
2004-05-15T00:00:00Z,33.0,0.37
2004-05-15T00:00:00Z,39.0,15.662
2004-05-15T00:00:00Z,45.0,0.413
2004-06-15T00:00:00Z,33.0,0.249
2004-06-15T00:00:00Z,39.0,19.932
2004-06-15T00:00:00Z,45.0,0.524
2004-07-15T00:00:00Z,33.0,0.062
2004-07-15T00:00:00Z,39.0,6.035
